PASTURE,BURN STATUS,Grazing Status,MapUnit_12,UTM_X,UTM_Y,Elevation (m),Predicted MAP (mm/yr),Average NPG Biomass (g m⁻²),Std Dev NPG Biomass,Average IPG Biomass (g m⁻²),Std Dev IPG Biomass,Total Grass Biomass (g m⁻²),Fraction Invasive Biomass,Predicted MAP (mm/yr) X,Average NPG Biomass (g m⁻²) X,Average IPG Biomass (g m⁻²) X,Total Grass Biomass (g m⁻²) X
6B,Not Burned,Grazed,Qy,514393,3527482,1025.98999,340.6655874,6.098943197,9.231730532,1.313947061,2.627894123,7.412890259,0.177251654,158.0950689,18.36178186,2.58549823,48.68433944
6B,Not Burned,Grazed,Qy,515433,3525832,1098.650024,362.6536159,18.50514028,21.77301277,5.003466296,9.798397267,23.50860658,0.212835511,179.1621469,36.61565386,17.42716597,93.34379826
6B,Not Burned,Grazed,Qi2,514481,3526698,1047.979981,347.320092,20.28964813,24.41368765,30.4695131,38.17851699,50.75916123,0.600276135,164.3318523,38.45892328,44.69293947,133.0194947
6B,Not Burned,Grazed,Qi2,515075,3526291,1076.170044,355.8508328,20.81563756,24.11291629,34.06790356,39.34256007,54.88354111,0.620730785,172.5035669,38.98160105,46.71191195,137.5842142
12B,Not Burned,Grazed,Qy,506667,3520157,989.039978,329.4839532,16.82453117,19.95312078,1.624889347,3.249778693,18.44942052,0.088072649,147.8870247,34.76855977,4.693726598,82.63900735
12B,Not Burned,Grazed,Qi3,506364,3519689,989.5750122,329.6458626,4.108691239,8.217382479,0.05,0,4.158691239,0.012023013,148.0324061,13.34610638,-20.9493263,31.51534846
12B,Not Burned,Grazed,Qy,506854,3520830,986.1959839,328.6233174,6.64246563,7.894375071,1.934551909,2.260545632,8.577017538,0.225550653,147.1154436,19.53630544,6.491260811,53.5100013
12B,Not Burned,Grazed,Qi2,505720,3518813,984.8129883,328.204802,21.55985147,11.41997084,3.874096223,1.732636351,25.43394769,0.152319894,146.7409635,39.70637646,14.28209481,96.99249683
12B,Not Burned,Grazed,Qi3,505086,3518960,971.9580078,324.3146899,12.82966379,6.013539752,16.29527081,15.46746765,29.1249346,0.559495533,143.2829941,29.82287738,34.1487021,103.4796751
2N,Not Burned,Grazed,Qy,510124,3520521,1052.650024,348.7333181,47.54178887,26.20877906,37.44073076,71.22095548,84.98251963,0.440569789,165.6718985,58.5133847,48.45379118,165.2118497
2N,Not Burned,Grazed,Qy,510122,3520536,1052.160034,348.5850396,68.36869179,31.03012916,32.95393258,52.13352863,101.3226244,0.325237653,165.5310427,68.98417777,46.10604829,177.3910594
2N,Not Burned,Grazed,Qi1,510567,3520558,1063.119995,351.9016901,26.63458046,4.709380709,52.73827551,79.63984568,79.37285597,0.664437166,168.6959803,44.25345862,55.04974449,160.6536621
2N,Not Burned,Grazed,Qi1,510579,3520557,1063.420044,351.9924894,15.62586376,3.623294804,63.35330982,115.7261043,78.97917359,0.802152098,168.7830477,33.37499581,58.76491057,160.3254174
2N,Not Burned,Grazed,Qi2,515095,3521002,1190.719971,390.5153782,15.70368679,6.203656695,259.1123573,161.9990421,274.8160441,0.94285746,207.7490133,33.46758262,92.16671511,260.1421956
2N,Not Burned,Grazed,Qi3,515103,3521036,1190.430054,390.4276449,69.41636234,28.95158995,281.7746631,161.0806563,351.1910254,0.802340159,207.6556773,69.45104829,94.45762272,284.5774906
6B,Not Burned,Grazed,Qi3,516748,3524522,1177.869995,386.6267807,82.28321099,37.54492384,125.0682843,105.4900586,207.3514953,0.6031704,203.6322206,74.83763243,73.7574656,234.2120697
6B,Not Burned,Grazed,Qi3,516762,3524514,1178.339966,386.769001,59.73698573,24.95911429,53.36450488,87.51051408,113.1014906,0.471828484,203.782061,64.94400542,55.28492623,185.3414979
6A,Not Burned,Grazed,Qy,517607,3521217,1312.930054,427.4980031,47.71402192,16.27593393,319.6942324,225.8996408,367.4082544,0.870133506,248.961012,58.61141714,97.97840622,289.275613
6A,Not Burned,Grazed,Qy,517601,3521215,1312.349976,427.3224627,81.68347989,62.25351997,269.7370414,206.5109357,351.4205213,0.767562009,248.7565947,74.5994922,93.26005509,284.6450225
4,Not Burned,Grazed,Qi2,511544,3516362,1147.349976,377.3909598,25.64642304,28.58722769,158.8380525,119.1609499,184.4844755,0.8609833,194.0195407,43.41621713,79.5141274,224.0843665
4,Not Burned,Grazed,Qi2,511572,3516334,1148.98999,377.8872531,35.2010818,47.33934098,190.8454871,97.31257682,226.0465689,0.844275089,194.5301761,50.76994622,84.12026336,241.9262788
4,Not Burned,Grazed,Qi1,510857,3514632,1195.930054,392.0920284,0.277298067,0.620057596,334.2731408,189.0035715,334.5504389,0.999171132,209.4299247,-7.678916411,99.24268093,279.5963215
4,Not Burned,Grazed,Qi1,510841,3514623,1196.420044,392.2403068,0.412166548,0.921632818,271.4845211,126.5967334,271.8966876,0.998484106,209.588357,-5.649663399,93.43654308,259.1184689
5 Mid,Not Burned,Grazed,Qi3,508261,3530169,883.6530151,297.5922596,28.01308224,23.28125267,84.62762478,86.88893435,112.640707,0.751305874,120.6434906,45.38770204,64.90632565,185.0416436
5 Mid,Not Burned,Grazed,Qi3,508281,3530155,884.0670166,297.7175427,50.07167371,18.66916401,117.2434714,93.1550112,167.3151451,0.700734362,120.7450923,59.93037716,72.24675834,215.8867804
8,Not Burned,Grazed,Qo,513651,3515768,1233.699951,403.5217723,19.04305847,13.58230615,379.5587646,219.7774467,398.6018231,0.95222536,221.8180145,37.18324831,102.9052771,297.9196367
8,Not Burned,Grazed,Qo,513656,3515778,1233.359985,403.4188935,14.87760635,14.51795308,443.3733858,241.4536806,458.2509921,0.967533935,221.7049222,32.46877586,107.5096895,313.2131928
3,Not Burned,Grazed,Qy,511875,3523885,1032.979981,342.7808645,54.3161838,22.29452178,0.05,0,54.3661838,0.000919689,160.0644841,62.20470344,-20.9493263,137.0250687
3,Not Burned,Grazed,Qy,511878,3523894,1033.180054,342.8414096,17.1901267,7.189785627,15.69440513,25.19671669,32.88453184,0.477257977,160.1210338,35.18044249,33.55553246,109.5207996
UA Cell D,Not Burned,Grazed,Qi3,515073,3519469,1202.579956,394.1043897,88.4290789,41.91103677,268.2687186,286.555042,356.6977975,0.752089641,211.5851991,77.21421696,93.11104682,286.18949
UA Cell D,Not Burned,Grazed,Qi2,515296,3519348,1210.280029,396.4345487,50.35675163,35.44330837,259.2139497,182.3667808,309.5707013,0.8373336,214.0946248,60.08704915,92.17733923,271.7829755
UA Cell E,Not Burned,Grazed,Qy,515982,3518384,1244.51001,406.79306,84.92933711,33.5099139,231.2779263,116.5872319,316.2072635,0.731412441,225.4291025,75.87482973,89.12058971,273.900572
UA Cell E,Not Burned,Grazed,Qy,515964,3518385,1243.640015,406.5297862,106.6694769,65.41036662,192.2723562,82.78200478,298.9418331,0.643176481,225.1374027,83.67900059,84.31064365,268.3244021
6A,Not Burned,Grazed,Qy,516550,3523183,1183.52002,388.3365638,124.1607803,60.1524659,46.01792101,87.24707645,170.1787014,0.270409403,205.4372643,89.22112779,52.37264549,217.2936123
6A,Not Burned,Grazed,Qy,516548,3523203,1183.469971,388.3214183,111.7932351,87.72077862,6.599341141,14.13620807,118.3925762,0.055741174,205.4212399,85.36122326,21.01120081,188.7249847
12C,Not Burned,Grazed,Qi1,508569,3516215,1095,361.5490631,7.720550197,4.96831445,281.9021325,168.6066738,289.6226827,0.973342729,178.0724339,21.68962116,94.47008157,265.2205575
12C,Not Burned,Grazed,Qi1,508527,3516219,1094.410034,361.3705305,0.289830072,0.411365617,359.9603252,275.3052411,360.2501553,0.999195476,177.896612,-7.465795037,101.3659725,287.2201635
UA Cell B,Not Burned,Grazed,Qi3,512713,3518662,1138.819946,374.8096436,52.65181762,47.52849054,227.733128,153.8790273,280.3849456,0.812215961,191.3744509,61.32743806,88.71173346,262.0741445
UA Cell B,Not Burned,Grazed,Qi3,512687,3518734,1138.369995,374.6734815,104.6314513,100.2291577,146.2436942,126.4162017,250.8751455,0.582934168,191.2354289,82.99498574,77.49428016,251.5100994
2S,Not Burned,Grazed,Qi3,510887,3519543,1083.439941,358.050814,83.96648472,37.93686113,7.862481495,6.926930879,91.82896621,0.08562093,174.6431192,75.49993522,23.37995749,170.4984018
2S,Not Burned,Grazed,Qi3,510949,3519553,1085.219971,358.5894779,45.06306192,18.71448438,27.17994814,39.68953374,72.24301006,0.376229453,175.1689967,57.07569281,42.67139505,154.5228494
2S,Not Burned,Grazed,Qi3,511023,3519535,1087.400024,359.2491952,78.56717843,46.93210201,23.41793312,10.94307062,101.9851115,0.229621096,175.8141312,73.34304144,40.1017335,177.8548981
2S,Not Burned,Grazed,Qi3,511054,3519524,1088.729981,359.6516601,75.90515329,22.15815498,23.84502823,18.07475392,99.75018152,0.239047467,176.2082821,72.24331176,40.40953562,176.2815671
2S,Not Burned,Grazed,Qi3,510854,3519495,1082.369995,357.7270321,94.3767141,29.10210327,30.3723026,15.49610321,124.7490167,0.243467271,174.3274033,79.41201411,44.63578518,192.6527477
2S,Not Burned,Grazed,Qi3,510800,3519550,1081.02002,357.318509,152.7822703,45.33868888,12.52874691,8.396262501,165.3110172,0.075788941,173.9294649,97.26567283,30.08807807,214.8921329
2N,Not Burned,Grazed,Qy,514803,3522562,1143.109985,376.1078745,146.4196126,60.52845981,28.32536185,26.81126596,174.7449744,0.16209543,192.7024865,95.56989708,43.39662527,219.503126
2N,Not Burned,Grazed,Qy,514780,3522575,1141.869995,375.7326346,113.9365244,63.36249792,2.467506766,5.517515248,116.4040311,0.021197778,192.31816,86.04974349,9.102579684,187.4660124
2S,Not Burned,Grazed,Qi3,510792,3519783,1078.349976,356.5105132,25.29766448,23.78916223,60.76491572,76.27990694,86.06258021,0.706055008,173.143743,43.11562089,57.90817451,166.0651372
2S,Not Burned,Grazed,Qi3,510767,3519795,1077.560059,356.2714723,29.72971292,9.749897489,78.47735306,78.44522907,108.207066,0.725251649,172.9116327,46.74956213,63.27252939,182.1116795
2S,Not Burned,Grazed,Qi3,510626,3519737,1074.839966,355.448331,71.77625812,65.36740757,256.8584454,154.4150647,328.6347035,0.781592579,172.113548,70.48582793,91.930142,277.783809
2S,Not Burned,Grazed,Qi3,510582,3519754,1073.689941,355.1003161,47.85159442,43.20496136,199.639111,115.2556213,247.4907055,0.806652964,171.776682,58.68955291,85.27581898,250.2439275
